"num","brand","female","age"
"177","2",0,32
"178","2",1,32
"179","2",0,32
"180","3",1,32
"181","2",1,32
"182","2",1,32
"183","3",1,32
"184","2",1,32
"185","2",1,32
"186","3",0,32
"187","2",1,32
"188","2",1,32
"189","1",1,32
"190","2",1,32
"191","2",1,32
"192","1",1,32
"193","1",0,32
"194","1",1,32
"195","1",0,32
"196","3",1,32
"197","2",1,32
"198","3",1,32
"199","3",1,32
"200","1",1,32
"201","2",1,32
"202","1",1,32
"203","1",1,32
"204","2",0,32
"205","2",1,32
"206","1",1,32
"207","2",0,32
"208","2",1,32
"209","1",0,32
"210","2",0,32
"211","3",1,32
"212","1",0,32
"213","1",0,32
"214","1",1,32
"215","1",1,32
"216","2",0,32
"217","3",1,32
"218","1",0,32
"219","2",1,32
"220","2",1,32
"221","2",1,32
"222","2",0,32
"223","2",0,32
"224","3",0,32
"225","1",1,32
"226","2",1,32
"227","2",0,32
"228","2",0,32
"229","2",1,32
"230","1",0,32
"231","2",1,32
"232","2",1,32
"233","1",1,32
"234","2",0,32
"235","2",0,32
"236","3",1,32
"237","1",0,32
"238","3",1,32
"239","3",0,32
"240","2",1,32
"241","1",1,32
"242","2",1,32
"243","2",1,32
"244","2",0,32
"245","2",0,32
"246","3",0,32
"247","1",1,32
"248","1",1,32
"249","1",1,32
"250","3",0,32
"251","2",0,32
"252","1",1,32
"253","2",1,32
"254","1",0,32
"255","1",1,32
"256","2",1,32
"257","2",0,32
"258","2",1,32
"259","2",1,32
"260","2",1,32
"261","1",0,32
"262","1",0,32
"263","2",0,32
"264","2",1,32
"265","2",1,32
"266","1",0,32
"267","3",0,32
"268","2",1,32
"269","2",1,32
"270","2",1,32
"271","3",1,32
"272","1",1,32
"273","2",0,32
"274","2",1,32
"275","2",1,32
"276","1",1,32
"277","3",1,32
"278","3",0,32
"279","1",1,32
"280","2",0,32
"281","1",1,32
"282","2",0,32
"283","1",0,32
"284","3",1,32
"285","2",1,32
"286","1",1,32
"287","1",0,32
"288","2",0,32
"289","1",1,32
"290","2",0,32
"291","2",1,32
"292","1",0,32
"293","1",0,32
"294","1",0,32
"295","2",1,32
"296","1",1,32
"297","2",1,32
"298","1",1,32
"299","2",0,32
"300","1",1,32
"301","2",1,32
"302","2",1,32
"303","2",1,32
"304","2",1,32
"305","3",1,32
"306","3",1,32
"307","3",1,32
"308","1",1,32
"309","2",1,32
"310","2",1,32
"311","2",0,32
"312","3",0,32
"313","3",0,32
"314","1",0,32
"315","1",0,32
"316","2",1,32
"317","1",0,32
"318","1",1,32
"319","3",0,32
"320","1",0,32
"321","2",0,32
"322","2",0,32
"323","1",0,32
"324","2",1,32
"325","1",1,32
"326","2",0,32
"327","1",0,32
"328","2",1,32
"329","2",1,32
"330","2",0,32
"331","2",1,32
"332","2",1,32
"333","1",0,32
"334","2",1,32
"335","2",1,32
"336","1",0,32
"337","1",1,32
"338","1",0,32
"339","1",0,32
"340","2",0,32
"341","3",1,32
"342","2",1,32
"343","3",1,32
"344","2",1,32
"345","1",0,32
"346","1",0,32
"347","3",0,32
"348","1",1,32
"349","2",1,32
"350","2",1,32
"351","2",1,32
"352","1",0,32
"353","3",0,32
"354","2",1,32
"355","2",1,32
"356","2",1,32
"357","2",1,32
"358","2",1,32
"359","2",1,32
"360","3",1,32
"361","1",1,32
"362","3",0,32
"363","1",1,32
"364","2",1,32
"365","2",0,32
"366","2",0,32
"367","3",0,32
"368","2",1,32
"369","3",1,32
"370","1",0,32
"371","1",0,32
"372","2",1,32
"373","1",0,32
"374","3",1,32
"375","1",0,32
"376","2",1,32
"377","1",1,32
"378","1",1,32
"379","2",1,32
"380","2",1,32
"381","2",0,32
"382","1",0,32
"383","2",1,32
"384","3",1,32
"385","2",1,32
"386","2",1,32
"387","2",0,32
"388","3",1,32
"389","2",0,32
"390","2",1,32
"391","1",0,32
"392","2",1,32
"393","1",0,32
"394","2",1,32
"395","2",0,32
"396","2",1,32
"397","2",0,32
"398","2",1,32
"399","2",1,32
"400","2",0,32
"401","3",0,32
"402","1",1,32
"403","3",1,32
"404","2",1,32
"405","2",1,32
"406","1",1,32
"407","2",1,32
"408","1",0,32
"409","2",0,32
"410","1",1,32
"411","1",1,32
"412","3",1,32
"413","2",1,32
"414","1",0,32
"415","2",1,32
"416","1",1,32
"417","2",1,32
"418","2",1,32
"419","1",1,32
"420","3",1,32
"421","2",1,32
"422","2",1,32
"423","2",1,32
"424","2",1,32
"425","3",1,32
"426","2",1,32
"427","3",1,32
"428","2",0,32
"429","2",1,32
"430","3",0,32
"431","1",0,32
"432","1",1,32
"433","1",0,32
"434","2",0,32
"435","1",0,32
"436","1",0,32
"437","2",0,32
"438","2",1,32
"439","2",1,32
"440","1",1,32
"441","3",0,32
"442","1",1,32
"443","3",1,33
"444","3",1,33
"445","1",1,33
"446","2",0,33
"447","1",1,33
"448","3",0,33
"449","3",1,33
"450","2",1,33
"451","1",0,33
"452","3",1,33
"453","1",0,33
"454","2",1,33
"455","2",1,33
"456","2",1,33
"457","2",1,33
"458","1",0,33
"459","2",1,33
"460","3",0,33
"461","3",1,33
"462","2",0,33
"463","2",0,33
"464","3",0,33
"465","2",1,33
"466","2",1,33
"467","2",1,33
"468","2",1,33
"469","2",1,33
"470","2",1,33
"471","2",1,33
"472","3",0,33
"473","3",1,33
"474","3",1,33
"475","1",0,33
"476","3",0,33
"477","2",1,33
"478","2",1,33
"479","2",1,33
"480","2",1,33
"481","2",1,33
"482","2",1,33
"483","2",0,33
"484","2",0,33
"485","2",1,33
"486","3",1,33
"487","2",1,33
"488","2",1,33
"489","3",1,33
"490","2",0,33
"491","3",0,33
"492","3",1,33
"493","2",1,33
"494","2",0,33
"495","2",0,33
"496","2",0,33
"497","1",1,33
"498","2",1,34
"499","3",0,34
"500","2",1,34
"501","3",1,34
"502","2",0,34
"503","3",1,34
"504","1",1,34
"505","2",1,34
"506","1",0,34
"507","1",0,34
"508","2",0,34
"509","3",1,34
"510","1",1,34
"511","2",1,34
"512","1",1,34
"513","2",0,34
"514","2",0,34
"515","3",0,34
"516","2",1,34
"517","1",1,34
"518","2",1,34
"519","3",1,34
"520","3",0,34
"521","3",1,34
"522","3",1,34
"523","2",1,34
"524","2",0,34
"525","2",0,34
"526","3",0,34
"527","2",1,34
"528","2",0,34
"529","3",1,34
"530","3",0,34
"531","2",1,34
"532","2",0,34
"533","2",0,34
"534","3",0,34
"535","2",1,34
"536","2",0,34
"537","2",1,34
"538","3",1,34
"539","3",1,34
"540","3",1,34
"541","3",1,34
"542","3",1,34
"543","1",1,34
"544","3",1,34
"545","2",1,34
"546","3",0,34
"547","3",1,34
"548","2",1,34
"549","3",1,34
"550","3",1,34
"551","1",0,34
"552","2",1,34
"553","3",1,34
"554","1",1,34
"555","3",1,34
"556","2",1,34
"557","2",0,34
"558","2",1,34
"559","2",0,34
"560","1",0,34
"561","2",0,34
"562","3",1,35
"563","1",1,35
"564","3",0,35
"565","3",1,35
"566","3",1,35
"567","3",1,35
"568","3",1,35
"569","3",1,35
"570","3",1,35
"571","3",0,35
"572","2",0,35
"573","3",0,35
"574","2",1,35
"575","2",1,35
"576","3",1,35
"577","3",1,35
"578","3",0,35
"579","3",1,35
"580","3",1,35
"581","3",1,35
"582","3",1,35
"583","2",1,35
"584","3",1,35
"585","3",1,35
"586","2",0,35
"587","3",0,35
"588","2",1,35
"589","2",1,35
"590","2",1,35
"591","3",1,35
"592","3",0,35
"593","3",0,35
"594","3",0,35
"595","3",0,35
"596","3",1,35
"597","3",0,36
"598","2",1,36
"599","2",0,36
"600","3",1,36
"601","3",0,36
"602","1",1,36
"603","1",1,36
"604","1",0,36
"605","1",1,36
"606","3",1,36
"607","3",1,36
"608","2",1,36
"609","2",1,36
"610","3",1,36
"611","2",1,36
"612","2",1,36
"613","3",1,36
"614","2",1,36
"615","3",1,36
"616","3",1,36
"617","2",0,36
"618","3",0,36
"619","1",1,36
"620","3",0,36
"621","2",1,36
"622","3",1,36
"623","2",0,36
"624","3",1,36
"625","2",1,36
"626","3",1,36
"627","2",1,36
"628","2",1,36
"629","1",1,36
"630","1",0,36
"631","3",1,36
"632","2",0,36
"633","3",0,36
"634","3",0,36
"635","2",1,36
"636","3",0,36
"637","3",1,36
"638","2",0,36
"639","3",0,36
"640","2",1,36
"641","2",0,36
"642","2",0,36
"643","3",0,36
"644","3",1,36
"645","3",1,36
"646","3",1,36
"647","2",1,36
"648","3",1,36
"649","3",0,36
"650","2",1,36
"651","2",0,36
"652","3",1,36
"653","3",1,36
"654","3",1,36
"655","3",0,36
"656","3",0,36
"657","2",0,36
"658","1",1,36
"659","3",0,36
"660","3",1,36
"661","1",0,36
"662","2",1,36
"663","3",1,36
"664","3",1,36
"665","3",0,36
"666","3",1,36
"667","3",1,36
"668","3",1,36
"669","3",1,36
"670","2",1,36
"671","3",0,36
"672","3",1,36
"673","3",0,36
"674","1",0,36
"675","3",1,36
"676","2",1,36
"677","2",0,36
"678","2",1,36
"679","2",1,36
"680","3",1,36
"681","3",1,36
"682","3",1,37
"683","3",1,37
"684","2",0,37
"685","3",1,37
"686","3",1,37
"687","3",1,37
"688","1",0,37
"689","3",1,37
"690","3",1,37
"691","2",1,37
"692","2",1,37
"693","3",1,37
"694","2",1,37
"695","3",1,37
"696","3",0,37
"697","3",1,37
"698","3",0,37
"699","3",1,37
"700","2",1,37
"701","3",1,37
"702","3",0,37
"703","2",1,37
"704","2",0,38
"705","3",1,38
"706","3",0,38
"707","2",0,38
"708","2",1,38
"709","3",0,38
"710","3",1,38
"711","2",0,38
"712","3",1,38
"713","3",1,38
"714","3",1,38
"715","3",0,38
"716","2",0,38
"717","3",0,38
"718","2",1,38
"719","2",0,38
"720","3",1,38
"721","3",0,38
"722","3",1,38
"723","3",0,38
"724","3",0,38
"725","3",0,38
"726","2",1,38
"727","3",0,38
"728","3",0,38
"729","3",1,38
"730","3",0,38
"731","3",1,38
"732","3",0,38
"733","3",0,38
"734","3",1,38
"735","1",1,38
